Country Name,Country Code,Year,Value
China,CHN,1960,667070000
China,CHN,1961,660330000
China,CHN,1962,665770000
China,CHN,1963,682335000
China,CHN,1964,698355000
China,CHN,1965,715185000
China,CHN,1966,735400000
China,CHN,1967,754550000
China,CHN,1968,774510000
China,CHN,1969,796025000
China,CHN,1970,818315000
China,CHN,1971,841105000
China,CHN,1972,862030000
China,CHN,1973,881940000
China,CHN,1974,900350000
China,CHN,1975,916395000
China,CHN,1976,930685000
China,CHN,1977,943455000
China,CHN,1978,956165000
China,CHN,1979,969005000
China,CHN,1980,981235000
China,CHN,1981,993885000
China,CHN,1982,1008630000
China,CHN,1983,1023310000
China,CHN,1984,1036825000
China,CHN,1985,1051040000
China,CHN,1986,1066790000
China,CHN,1987,1084035000
China,CHN,1988,1101630000
China,CHN,1989,1118650000
China,CHN,1990,1135185000
China,CHN,1991,1150780000
China,CHN,1992,1164970000
China,CHN,1993,1178440000
China,CHN,1994,1191835000
China,CHN,1995,1204855000
China,CHN,1996,1217550000
China,CHN,1997,1230075000
China,CHN,1998,1241935000
China,CHN,1999,1252735000
China,CHN,2000,1262645000
China,CHN,2001,1271850000
China,CHN,2002,1280400000
China,CHN,2003,1288400000
China,CHN,2004,1296075000
China,CHN,2005,1303720000
China,CHN,2006,1311020000
China,CHN,2007,1317885000
China,CHN,2008,1324655000
China,CHN,2009,1331260000
China,CHN,2010,1337705000
China,CHN,2011,1344130000
China,CHN,2012,1350695000
China,CHN,2013,1357380000
China,CHN,2014,1364270000
China,CHN,2015,1371220000
China,CHN,2016,1378665000
China,CHN,2017,1386395000
China,CHN,2018,1392730000
Mexico,MEX,1960,37771859
Mexico,MEX,1961,38966056
Mexico,MEX,1962,40195319
Mexico,MEX,1963,41462369
Mexico,MEX,1964,42771079
Mexico,MEX,1965,44123853
Mexico,MEX,1966,45519737
Mexico,MEX,1967,46956208
Mexico,MEX,1968,48431972
Mexico,MEX,1969,49945279
Mexico,MEX,1970,51493565
Mexico,MEX,1971,53076373
Mexico,MEX,1972,54689943
Mexico,MEX,1973,56324303
Mexico,MEX,1974,57966804
Mexico,MEX,1975,59607953
Mexico,MEX,1976,61242190
Mexico,MEX,1977,62869903
Mexico,MEX,1978,64494869
Mexico,MEX,1979,66123897
Mexico,MEX,1980,67761372
Mexico,MEX,1981,69407624
Mexico,MEX,1982,71058654
Mexico,MEX,1983,72709299
Mexico,MEX,1984,74352631
Mexico,MEX,1985,75983485
Mexico,MEX,1986,77599098
Mexico,MEX,1987,79200081
Mexico,MEX,1988,80788721
Mexico,MEX,1989,82368931
Mexico,MEX,1990,83943132
Mexico,MEX,1991,85512623
Mexico,MEX,1992,87075138
Mexico,MEX,1993,88625440
Mexico,MEX,1994,90156400
Mexico,MEX,1995,91663285
Mexico,MEX,1996,93147044
Mexico,MEX,1997,94611002
Mexico,MEX,1998,96056321
Mexico,MEX,1999,97484832
Mexico,MEX,2000,98899845
Mexico,MEX,2001,100298153
Mexico,MEX,2002,101684758
Mexico,MEX,2003,103081020
Mexico,MEX,2004,104514932
Mexico,MEX,2005,106005203
Mexico,MEX,2006,107560153
Mexico,MEX,2007,109170502
Mexico,MEX,2008,110815271
Mexico,MEX,2009,112463887
Mexico,MEX,2010,114092963
Mexico,MEX,2011,115695473
Mexico,MEX,2012,117274155
Mexico,MEX,2013,118827161
Mexico,MEX,2014,120355128
Mexico,MEX,2015,121858258
Mexico,MEX,2016,123333376
Mexico,MEX,2017,124777324
Mexico,MEX,2018,126190788
South Sudan,SSD,1960,2842724
South Sudan,SSD,1961,2895605
South Sudan,SSD,1962,2951043
South Sudan,SSD,1963,3009062
South Sudan,SSD,1964,3069739
South Sudan,SSD,1965,3133150
South Sudan,SSD,1966,3199343
South Sudan,SSD,1967,3268405
South Sudan,SSD,1968,3340422
South Sudan,SSD,1969,3415576
South Sudan,SSD,1970,3494004
South Sudan,SSD,1971,3575900
South Sudan,SSD,1972,3661440
South Sudan,SSD,1973,3750782
South Sudan,SSD,1974,3844104
South Sudan,SSD,1975,3941618
South Sudan,SSD,1976,4041791
South Sudan,SSD,1977,4144554
South Sudan,SSD,1978,4253083
South Sudan,SSD,1979,4371714
South Sudan,SSD,1980,4502604
South Sudan,SSD,1981,4646489
South Sudan,SSD,1982,4799434
South Sudan,SSD,1983,4953151
South Sudan,SSD,1984,5096482
South Sudan,SSD,1985,5220747
South Sudan,SSD,1986,5328164
South Sudan,SSD,1987,5419809
South Sudan,SSD,1988,5485282
South Sudan,SSD,1989,5511579
South Sudan,SSD,1990,5492623
South Sudan,SSD,1991,5420171
South Sudan,SSD,1992,5305457
South Sudan,SSD,1993,5185699
South Sudan,SSD,1994,5111365
South Sudan,SSD,1995,5118083
South Sudan,SSD,1996,5221926
South Sudan,SSD,1997,5411655
South Sudan,SSD,1998,5661942
South Sudan,SSD,1999,5933882
South Sudan,SSD,2000,6199394
South Sudan,SSD,2001,6447793
South Sudan,SSD,2002,6688226
South Sudan,SSD,2003,6935676
South Sudan,SSD,2004,7213351
South Sudan,SSD,2005,7535932
South Sudan,SSD,2006,7907406
South Sudan,SSD,2007,8315139
South Sudan,SSD,2008,8736939
South Sudan,SSD,2009,9142259
South Sudan,SSD,2010,9508364
South Sudan,SSD,2011,9830698
South Sudan,SSD,2012,10113647
South Sudan,SSD,2013,10355036
South Sudan,SSD,2014,10554883
South Sudan,SSD,2015,10715658
South Sudan,SSD,2016,10832512
South Sudan,SSD,2017,10910759
South Sudan,SSD,2018,10975920
